text_size_bits,image_capacity_kb,psnr,mse,ssim,image_quality
2464026,623.4375,54.3045868,0.241335761,0.996417197,bad
3695938,623.4375,52.55097408,0.361395677,0.995314231,bad
4243616,623.4375,51.94580478,0.415431939,0.994796702,bad
4640442,623.4375,51.55790966,0.454244204,0.994508637,bad
5100378,623.4375,51.14513273,0.499536341,0.994214987,bad
164064,623.4375,65.68020745,0.017581649,0.999746407,good
323968,623.4375,62.71710238,0.034783247,0.999475304,good
983424,623.4375,57.89204163,0.105651629,0.998374166,acceptable
1310944,623.4375,56.65423768,0.140493617,0.997850263,bad
1802464,623.4375,55.27054771,0.193208216,0.997099244,bad
2403200,623.4375,54.01715046,0.257848919,0.996155295,bad
2840096,623.4375,53.29249726,0.304670661,0.99566523,bad
3277024,623.4375,52.67206516,0.351458333,0.995249556,bad
4915424,623.4375,50.91985054,0.526132715,0.993803347,bad
122912,623.4375,66.85908808,0.01340206,0.99981324,good
242976,623.4375,63.89987899,0.026490641,0.999606604,good
737488,623.4375,59.05692954,0.080795544,0.998763048,acceptable
983072,623.4375,57.80972399,0.107673285,0.998351757,acceptable
1351712,623.4375,56.42561087,0.148087798,0.997746165,bad
1802344,623.4375,55.17414243,0.197545034,0.997046685,bad
2130024,623.4375,54.44774248,0.233510338,0.996491506,bad
2457696,623.4375,53.8268835,0.269396538,0.996020049,bad
3686496,623.4375,52.06425831,0.40425419,0.994786146,bad
4243560,623.4375,51.45375483,0.465269815,0.994203461,bad
4628584,623.4375,51.07639958,0.507505091,0.99388913,bad
5087328,623.4375,50.69417252,0.554195645,0.993583978,bad
123339,2025.0,56.7689186,0.13683226,0.998167308,acceptable
985695,2025.0,56.01336501,0.162833538,0.997752486,bad
3695945,2025.0,54.24543693,0.244645182,0.996445212,bad
5100325,2025.0,53.55670928,0.286687946,0.99577337,bad
8213188,2025.0,52.32342176,0.380836167,0.994392561,bad
45195,185.625,66.43329784,0.014782592,0.999844156,good
123332,185.625,62.03830267,0.040667745,0.999544972,good
243104,185.625,59.10687797,0.079871633,0.999165084,acceptable
521503,185.625,55.79257367,0.171325889,0.99866664,acceptable
739401,185.625,54.27109331,0.243204177,0.998321357,bad
985646,185.625,53.02604429,0.323948469,0.998008348,bad
1355245,185.625,51.64373148,0.445355903,0.997625946,bad
1478474,185.625,51.26297226,0.486164378,0.997533946,bad
164064,185.625,60.34236607,0.060095749,0.999344717,good
324128,185.625,57.38316889,0.118785511,0.998865215,acceptable
693632,185.625,54.09090275,0.253507076,0.998219258,bad
983424,185.625,52.57888676,0.359080387,0.99779238,bad
1310944,185.625,51.37006494,0.474322654,0.997438136,bad
1507552,185.625,50.81385613,0.53913155,0.997288568,bad
122912,185.625,61.56572501,0.04534275,0.999493636,good
242976,185.625,58.57167453,0.090346828,0.999060904,acceptable
520152,185.625,55.25361316,0.193963068,0.998496002,acceptable
737488,185.625,53.73025441,0.275457702,0.998109946,bad
983072,185.625,52.48857225,0.366625894,0.99775305,bad
1351712,185.625,51.16076873,0.497741083,0.997345351,bad
1499168,185.625,50.75589374,0.54637521,0.99724534,bad
45193,288.0,68.28461617,0.009652032,0.99988768,good
123343,288.0,63.95260997,0.026170943,0.99964446,good
243104,288.0,61.02213282,0.051388635,0.99927059,acceptable
521494,288.0,57.69210637,0.110629188,0.998515903,acceptable
739403,288.0,56.18343564,0.156580183,0.99829186,acceptable
985678,288.0,54.93096925,0.208921644,0.998225339,bad
1355241,288.0,53.54765713,0.287286123,0.998072063,bad
1806953,288.0,52.29549781,0.383292728,0.997898757,bad
2130080,288.0,51.58854637,0.451051076,0.99782565,bad
2340791,288.0,51.17822833,0.495744069,0.997735259,bad
60128,288.0,66.64711628,0.014072418,0.999825032,good
164064,288.0,62.28926378,0.038384332,0.999468144,good
324128,288.0,56.32410634,0.151589712,0.998189291,acceptable
693632,288.0,56.02652679,0.1623408,0.998139943,acceptable
983424,288.0,54.50639272,0.230378045,0.99804364,bad
1310944,288.0,53.26339027,0.306719462,0.997896422,bad
1802464,288.0,51.8790617,0.421865675,0.997683543,bad
2293984,288.0,50.87570797,0.531507704,0.997524829,bad
45072,288.0,67.84565667,0.010678609,0.999876393,good
122912,288.0,63.48691174,0.029133267,0.999605897,good
242976,288.0,60.52595403,0.057608287,0.999187376,acceptable
520152,288.0,57.19557302,0.124028948,0.998346062,acceptable
737488,288.0,55.68115143,0.175778283,0.998089442,acceptable
983072,288.0,54.4344641,0.234225379,0.998021234,bad
1351784,288.0,53.05280695,0.32195833,0.997850441,bad
1802344,288.0,51.80422725,0.429197947,0.997657236,bad
2130024,288.0,51.09695124,0.505109151,0.997572309,bad
2318368,288.0,50.77025574,0.544571347,0.997492445,bad
45197,625.1953125,71.66268883,0.004434161,0.999952947,good
123339,625.1953125,67.32679757,0.012033739,0.999834828,good
243104,625.1953125,64.39668346,0.023627187,0.999657636,good
521494,625.1953125,61.06628278,0.050868869,0.999249174,acceptable
739671,625.1953125,59.54085972,0.072276047,0.998931852,acceptable
985660,625.1953125,58.29418924,0.096307794,0.998578364,acceptable
1355212,625.1953125,56.91794721,0.132216495,0.998052214,acceptable
1806966,625.1953125,55.66233043,0.176541706,0.997433685,bad
2130080,625.1953125,54.94768741,0.208118947,0.997065592,bad
2463966,625.1953125,54.31616291,0.240693338,0.996757865,bad
3695984,625.1953125,52.55525854,0.361039324,0.995893683,bad
4243616,625.1953125,51.95979341,0.414095986,0.995413592,bad
4640466,625.1953125,51.56896772,0.453089074,0.994935775,bad
5100410,625.1953125,51.15940898,0.497896946,0.994403407,bad
60128,625.1953125,69.98401609,0.006526476,0.999922748,good
164064,625.1953125,65.66437707,0.017645853,0.999751191,good
324128,625.1953125,62.69104391,0.03499258,0.999488164,good
693632,625.1953125,59.38489691,0.074918775,0.998894766,acceptable
983424,625.1953125,57.86860774,0.106223251,0.998434268,acceptable
1310944,625.1953125,56.62243866,0.141526086,0.997918418,bad
1802464,625.1953125,55.23560923,0.194768822,0.997172379,bad
2403200,625.1953125,53.98973128,0.259481998,0.996483775,bad
2840096,625.1953125,53.26640033,0.306506951,0.996105916,bad
3277024,625.1953125,52.64499227,0.353656084,0.995797857,bad
4915424,625.1953125,50.88913301,0.529867229,0.994074304,bad
45072,625.1953125,71.17293387,0.004963488,0.99994728,good
122912,625.1953125,66.83435562,0.0134786,0.999815612,good
242976,625.1953125,63.84309678,0.026839269,0.999612832,good
520152,625.1953125,60.52052004,0.057680412,0.999154549,acceptable
737488,625.1953125,59.00750085,0.081720361,0.99880056,acceptable
983072,625.1953125,57.75819909,0.108958333,0.998403333,acceptable
1351784,625.1953125,56.36880011,0.150037684,0.997805915,bad
1802344,625.1953125,55.12462248,0.199810411,0.997115862,bad
2130024,625.1953125,54.39518354,0.236353483,0.996692117,bad
2457696,625.1953125,53.77447255,0.272667331,0.9963526,bad
3686496,625.1953125,52.01374552,0.408983521,0.995377141,bad
4243560,625.1953125,51.40306821,0.470731803,0.994827198,bad
4628584,625.1953125,51.02267625,0.513822048,0.994300863,bad
5087328,625.1953125,50.64099452,0.561023313,0.993742756,bad
45204,489.84375,70.64750888,0.005601824,0.999937443,good
123332,489.84375,66.2590498,0.015387759,0.999775266,good
243104,489.84375,63.31094578,0.030337919,0.999529388,good
521517,489.84375,60.00648466,0.06492798,0.998963407,acceptable
739398,489.84375,58.48739515,0.092117225,0.998544693,acceptable
985632,489.84375,57.24329799,0.122673445,0.998111049,acceptable
1355280,489.84375,55.84890342,0.169118072,0.997465404,bad
1806939,489.84375,54.60824735,0.225037879,0.996687167,bad
2130080,489.84375,53.89232507,0.265367574,0.996141091,bad
2464010,489.84375,53.25588751,0.307249801,0.995565799,bad
3695954,489.84375,51.49572409,0.460795205,0.994798285,bad
3997856,489.84375,51.15942391,0.497895235,0.994685888,bad
60128,489.84375,68.93392972,0.008311653,0.999896334,good
164064,489.84375,64.57028568,0.022701356,0.999659176,good
324128,489.84375,61.6229893,0.044748804,0.999298012,acceptable
693632,489.84375,58.3180325,0.095780502,0.998483049,acceptable
983424,489.84375,56.79711626,0.13594672,0.997910546,bad
1310944,489.84375,55.54874005,0.181220096,0.997283126,bad
1802464,489.84375,54.17059343,0.248897777,0.996342888,bad
2403200,489.84375,52.9196138,0.331985397,0.995206682,bad
2840096,489.84375,52.19317362,0.392430722,0.994605827,bad
3277024,489.84375,51.57019765,0.452960776,0.994366504,bad
3932384,489.84375,50.80280538,0.540505134,0.994170023,bad
45072,489.84375,70.15506646,0.006274422,0.999930179,good
1222912,489.84375,65.79703913,0.017114982,0.999750598,good
242976,489.84375,62.82928298,0.033896282,0.99947527,good
520152,489.84375,59.5136669,0.072730014,0.998839442,acceptable
737488,489.84375,57.99565301,0.103160885,0.998372119,acceptable
983072,489.84375,56.74979209,0.137436204,0.997885952,bad
1351784,489.84375,55.36007531,0.189266098,0.997170015,bad
1802344,489.84375,54.11326336,0.252205193,0.996298714,bad
2130024,489.84375,53.38605373,0.298177582,0.995680657,bad
2457696,489.84375,52.7652733,0.343995714,0.995052684,bad
3686496,489.84375,51.00513893,0.515901116,0.994188269,bad
3973152,489.84375,50.71253368,0.551857556,0.994081502,bad
45203,627.5390625,71.69426515,0.004402039,0.999955456,good
243104,627.5390625,64.38257023,0.023704093,0.999670567,good
521503,627.5390625,61.07818469,0.050729653,0.999274661,acceptable
739421,627.5390625,59.57260104,0.071749728,0.998967678,acceptable
985644,627.5390625,58.32256319,0.095680633,0.998617932,acceptable
1355262,627.5390625,56.93558967,0.131680478,0.99809787,acceptable
1806961,627.5390625,55.67991163,0.17582847,0.997462814,bad
2130080,627.5390625,54.96451653,0.207314037,0.997028701,bad
2464027,627.5390625,54.33055719,0.239896903,0.996630074,bad
3695974,627.5390625,52.56948966,0.359858193,0.99596401,bad
4243616,627.5390625,51.97246592,0.412889434,0.995731817,bad
4640469,627.5390625,51.58676813,0.4512358,0.995538525,bad
5128352,627.5390625,51.1519542,0.498752334,0.995127877,bad
60128,627.5390625,70.02606867,0.006463585,0.99992763,good
324128,627.5390625,62.69408346,0.034968098,0.999508345,good
693632,627.5390625,59.39493802,0.074745759,0.998928215,acceptable
983424,627.5390625,57.87207257,0.106138539,0.998470504,acceptable
1310944,627.5390625,56.62398079,0.14147584,0.997961004,acceptable
1802464,627.5390625,55.24393018,0.194396008,0.99720135,bad
2403200,627.5390625,53.99197197,0.259348156,0.996349046,bad
2840096,627.5390625,53.26633675,0.306511438,0.99593436,bad
3277024,627.5390625,52.6469687,0.353495176,0.995729817,bad
4915424,627.5390625,50.89253104,0.529452809,0.994825939,bad
45072,627.5390625,71.21213761,0.004918884,0.999950597,good
242976,627.5390625,63.86969092,0.02667542,0.999630748,good
520152,627.5390625,60.54695566,0.057330377,0.999185978,acceptable
737488,627.5390625,59.0201626,0.081482454,0.998835853,acceptable
983072,627.5390625,57.78039171,0.108402972,0.998444974,acceptable
1351784,627.5390625,56.39423301,0.149161609,0.99786017,bad
1802344,627.5390625,55.14306762,0.198963585,0.997149132,bad
2130024,627.5390625,54.4204018,0.234985022,0.996655318,bad
2457696,627.5390625,53.80088252,0.271014239,0.996218684,bad
3686496,627.5390625,52.0368601,0.406812558,0.995460796,bad
4243560,627.5390625,51.42854437,0.467978525,0.99519364,bad
4628584,627.5390625,51.05035369,0.51055789,0.994980708,bad
5128224,627.5390625,50.63172804,0.562221639,0.994538126,bad
