text_size_bits,image_capacity_kb,psnr,mse,ssim,image_quality
323968,623.4375,62.71710238,0.034783247,0.999475304,good
983424,623.4375,57.89204163,0.105651629,0.998374166,good
1310944,623.4375,56.65423768,0.140493617,0.997850263,good
1802464,623.4375,55.27054771,0.193208216,0.997099244,good
2403200,623.4375,54.01715046,0.257848919,0.996155295,good
2840096,623.4375,53.29249726,0.304670661,0.99566523,good
3277024,623.4375,52.67206516,0.351458333,0.995249556,good
4915424,623.4375,50.91985054,0.526132715,0.993803347,good
122912,623.4375,66.85908808,0.01340206,0.99981324,good
242976,623.4375,63.89987899,0.026490641,0.999606604,good
737488,623.4375,59.05692954,0.080795544,0.998763048,good
983072,623.4375,57.80972399,0.107673285,0.998351757,good
1351712,623.4375,56.42561087,0.148087798,0.997746165,good
1802344,623.4375,55.17414243,0.197545034,0.997046685,good
2130024,623.4375,54.44774248,0.233510338,0.996491506,good
2457696,623.4375,53.8268835,0.269396538,0.996020049,good
3686496,623.4375,52.06425831,0.40425419,0.994786146,good
4243560,623.4375,51.45375483,0.465269815,0.994203461,good
4628584,623.4375,51.07639958,0.507505091,0.99388913,good
5087328,623.4375,50.69417252,0.554195645,0.993583978,good
123339,2025,56.7689186,0.13683226,0.998167308,good
985695,2025,56.01336501,0.162833538,0.997752486,good
3695945,2025,54.24543693,0.244645182,0.996445212,good
5100325,2025,53.55670928,0.286687946,0.99577337,good
8213188,2025,52.32342176,0.380836167,0.994392561,good
45195,185.625,66.43329784,0.014782592,0.999844156,good
123332,185.625,62.03830267,0.040667745,0.999544972,good
243104,185.625,59.10687797,0.079871633,0.999165084,good
521503,185.625,55.79257367,0.171325889,0.99866664,good
739401,185.625,54.27109331,0.243204177,0.998321357,good
985646,185.625,53.02604429,0.323948469,0.998008348,good
1355245,185.625,51.64373148,0.445355903,0.997625946,good
1478474,185.625,51.26297226,0.486164378,0.997533946,good
164064,185.625,60.34236607,0.060095749,0.999344717,good
324128,185.625,57.38316889,0.118785511,0.998865215,good
693632,185.625,54.09090275,0.253507076,0.998219258,good
983424,185.625,52.57888676,0.359080387,0.99779238,good
1310944,185.625,51.37006494,0.474322654,0.997438136,good
1507552,185.625,50.81385613,0.53913155,0.997288568,good
122912,185.625,61.56572501,0.04534275,0.999493636,good
242976,185.625,58.57167453,0.090346828,0.999060904,good
520152,185.625,55.25361316,0.193963068,0.998496002,good
737488,185.625,53.73025441,0.275457702,0.998109946,good
983072,185.625,52.48857225,0.366625894,0.99775305,good
1351712,185.625,51.16076873,0.497741083,0.997345351,good
1499168,185.625,50.75589374,0.54637521,0.99724534,good
45193,288,68.28461617,0.009652032,0.99988768,good
123343,288,63.95260997,0.026170943,0.99964446,good
243104,288,61.02213282,0.051388635,0.99927059,good
521494,288,57.69210637,0.110629188,0.998515903,good
739403,288,56.18343564,0.156580183,0.99829186,good
985678,288,54.93096925,0.208921644,0.998225339,good
1355241,288,53.54765713,0.287286123,0.998072063,good
1806953,288,52.29549781,0.383292728,0.997898757,good
2130080,288,51.58854637,0.451051076,0.99782565,good
2340791,288,51.17822833,0.495744069,0.997735259,good
60128,288,66.64711628,0.014072418,0.999825032,good
164064,288,62.28926378,0.038384332,0.999468144,good
324128,288,56.32410634,0.151589712,0.998189291,good
693632,288,56.02652679,0.1623408,0.998139943,good
983424,288,54.50639272,0.230378045,0.99804364,good
1310944,288,53.26339027,0.306719462,0.997896422,good
1802464,288,51.8790617,0.421865675,0.997683543,good
2293984,288,50.87570797,0.531507704,0.997524829,good
45072,288,67.84565667,0.010678609,0.999876393,good
122912,288,63.48691174,0.029133267,0.999605897,good
242976,288,60.52595403,0.057608287,0.999187376,good
520152,288,57.19557302,0.124028948,0.998346062,good
737488,288,55.68115143,0.175778283,0.998089442,good
983072,288,54.4344641,0.234225379,0.998021234,good
1351784,288,53.05280695,0.32195833,0.997850441,good
1802344,288,51.80422725,0.429197947,0.997657236,good
2130024,288,51.09695124,0.505109151,0.997572309,good
2318368,288,50.77025574,0.544571347,0.997492445,good
45197,625.1953125,71.66268883,0.004434161,0.999952947,good
123339,625.1953125,67.32679757,0.012033739,0.999834828,good
243104,625.1953125,64.39668346,0.023627187,0.999657636,good
521494,625.1953125,61.06628278,0.050868869,0.999249174,good
739671,625.1953125,59.54085972,0.072276047,0.998931852,good
985660,625.1953125,58.29418924,0.096307794,0.998578364,good
1355212,625.1953125,56.91794721,0.132216495,0.998052214,good
1806966,625.1953125,55.66233043,0.176541706,0.997433685,good
2130080,625.1953125,54.94768741,0.208118947,0.997065592,good
2463966,625.1953125,54.31616291,0.240693338,0.996757865,good
3695984,625.1953125,52.55525854,0.361039324,0.995893683,good
4243616,625.1953125,51.95979341,0.414095986,0.995413592,good
4640466,625.1953125,51.56896772,0.453089074,0.994935775,good
5100410,625.1953125,51.15940898,0.497896946,0.994403407,good
60128,625.1953125,69.98401609,0.006526476,0.999922748,good
164064,625.1953125,65.66437707,0.017645853,0.999751191,good
324128,625.1953125,62.69104391,0.03499258,0.999488164,good
693632,625.1953125,59.38489691,0.074918775,0.998894766,good
983424,625.1953125,57.86860774,0.106223251,0.998434268,good
1310944,625.1953125,56.62243866,0.141526086,0.997918418,good
1802464,625.1953125,55.23560923,0.194768822,0.997172379,good
2403200,625.1953125,53.98973128,0.259481998,0.996483775,good
2840096,625.1953125,53.26640033,0.306506951,0.996105916,good
3277024,625.1953125,52.64499227,0.353656084,0.995797857,good
4915424,625.1953125,50.88913301,0.529867229,0.994074304,good
45072,625.1953125,71.17293387,0.004963488,0.99994728,good
122912,625.1953125,66.83435562,0.0134786,0.999815612,good
242976,625.1953125,63.84309678,0.026839269,0.999612832,good
520152,625.1953125,60.52052004,0.057680412,0.999154549,good
737488,625.1953125,59.00750085,0.081720361,0.99880056,good
