Text Size (bits),Embedding Capacity (kb),Bps,SNR (dB),MSE,Overall Quality
5324960,1293.6,1,53.22,0.125588,acceptable
6981215,1293.6,1,52.04,0.164668,acceptable
9011360,1293.6,1,50.93,0.212612,acceptable
10240160,1293.6,1,50.38,0.241673,acceptable
45193,2587.2,2,69.18,0.003185,good
123337,2587.2,2,65.06,0.008224,good
520352,2587.2,2,59.2,0.031725,good
985651,2587.2,2,56.51,0.058913,acceptable
1806984,2587.2,2,53.89,0.107579,acceptable
2464017,2587.2,2,52.57,0.145917,acceptable
4243616,2587.2,2,50.21,0.251242,acceptable
5100434,2587.2,2,49.41,0.301691,acceptable
10240160,2587.2,2,46.39,0.60558,bad
14783783,2587.2,2,44.8,0.872756,bad
