Text Size (bits),Embedding Capacity (kb),Bps,SNR (dB),MSE,Stego Audio Quality,SNR Quality,MSE Quality
5100392,645.6,2,43.23,1.243415,good,bad,bad
5281060,645.6,2,43.08,1.286127,good,bad,bad
45197,128.4,1,63.89,0.010752,good,good,good
123341,128.4,1,59.53,0.02933,good,good,good
243104,128.4,1,56.58,0.057891,good,good,good
520352,128.4,1,53.29,0.123461,good,acceptable,acceptable
739421,128.4,1,51.75,0.175935,good,acceptable,acceptable
985638,128.4,1,50.52,0.233849,good,acceptable,acceptable
1034934,128.4,1,50.31,0.24545,good,acceptable,acceptable
45196,256.9,2,59.85,0.027298,good,good,good
123340,256.9,2,55.43,0.075424,good,acceptable,acceptable
243104,256.9,2,52.53,0.147185,good,acceptable,acceptable
520352,256.9,2,49.17,0.319277,good,acceptable,acceptable
739379,256.9,2,47.54,0.464272,good,acceptable,acceptable
985658,256.9,2,46.33,0.612698,good,bad,bad
1355266,256.9,2,44.99,0.844976,good,bad,bad
1806955,256.9,2,43.69,1.127226,good,bad,bad
2080928,256.9,2,43.04,1.306951,good,bad,bad
45200,25.7,1,56.9,0.053831,good,good,good
123341,25.7,1,52.55,0.146559,good,acceptable,acceptable
197233,25.7,1,50.52,0.233922,good,acceptable,acceptable
45200,51.5,2,52.95,0.133636,good,acceptable,acceptable
243104,51.5,2,45.63,0.721509,good,bad,bad
328644,51.5,2,44.31,0.977284,good,bad,bad
409760,51.5,2,43.36,1.216041,good,bad,bad
45197,63.99,1,60.93,0.02156,good,good,good
123337,64.0,1,56.58,0.058738,good,good,good
243104,64.0,1,53.63,0.116008,good,acceptable,acceptable
328638,64.0,1,52.32,0.156561,good,acceptable,acceptable
451811,64.0,1,50.94,0.215089,good,acceptable,acceptable
520352,64.0,1,50.32,0.248401,good,acceptable,acceptable
45198,128.0,2,56.81,0.05575,good,good,good
123326,128.0,2,52.53,0.149364,good,acceptable,acceptable
243104,128.0,2,49.56,0.295554,good,acceptable,acceptable
451829,128.0,2,46.81,0.557519,good,bad,bad
520352,128.0,2,46.23,0.637518,good,bad,bad
